farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,highest_recorded_price_per_kg,potential_revenue_per_hectare,lowest_production_cost_per_hectare
FARM0251,South USA,Cotton,33.85,6.12,21.46,207.29,42.11,9.62,Drip,Inorganic,26.66,2024-02-07,2024-05-30,113,555008.0,SENS0251,2024-05-27,26.66737,89.465481,0.44,Severe,1.3917337376867303,772423.3582860368,710.3122657979586
FARM0078,East Africa,Wheat,34.9,6.53,17.49,70.97,48.02,6.7,Sprinkler,Inorganic,9.13,2024-01-27,2024-05-24,118,553852.0,SENS0078,2024-01-30,20.372423,77.929079,0.52,Severe,0.36990663654980654,204873.53046638347,602.3410846457233
FARM0089,Central USA,Soybean,17.85,7.47,30.84,109.18,64.7,6.17,Manual,Inorganic,41.16,2024-03-05,2024-07-12,129,553699.0,SENS0089,2024-03-21,17.732268,89.991901,0.73,Severe,0.46231943289731503,255985.80767581044,770.1480594932975
FARM0104,South USA,Cotton,32.77,7.01,20.74,121.35,42.96,8.61,Sprinkler,Mixed,38.24,2024-01-06,2024-05-01,116,552898.0,SENS0104,2024-01-28,33.348065,70.726797,0.8,Severe,1.3917337376867303,769486.8000995178,710.3122657979586
FARM0474,East Africa,Maize,29.3,6.71,32.93,92.69,87.33,6.34,Manual,Mixed,35.5,2024-03-18,2024-07-24,128,552808.0,SENS0474,2024-06-29,21.921547,72.551444,0.31,Mild,0.1865341057790114,103117.54594748373,577.1401222223404
FARM0113,North India,Wheat,38.33,6.34,30.32,270.94,40.78,5.24,Drip,Mixed,6.51,2024-03-22,2024-08-04,135,548885.0,SENS0113,2024-05-23,28.513527,78.045307,0.44,Mild,0.36990663654980654,203036.20420264057,586.9320652706423
FARM0371,Central USA,Rice,27.63,7.36,32.56,82.98,55.87,7.18,Sprinkler,Inorganic,10.26,2024-01-05,2024-05-05,121,548672.0,SENS0371,2024-04-20,17.025016,77.211844,0.56,Moderate,0.34828616632929943,191094.86745222937,660.7376749933597
FARM0142,East Africa,Soybean,15.89,7.46,20.85,193.18,87.62,7.09,Drip,Organic,48.32,2024-02-02,2024-05-19,107,546819.0,SENS0142,2024-02-18,27.535663,72.653817,0.39,Moderate,0.46231943289731503,252805.0499774769,693.7495230392319
FARM0183,North India,Soybean,44.98,7.43,31.79,190.36,69.69,5.7,Drip,Inorganic,7.87,2024-02-21,2024-06-10,110,544597.0,SENS0183,2024-03-25,26.40299,89.043756,0.69,Mild,0.46231943289731503,251777.77619757908,619.8868470918252
FARM0048,North India,Soybean,41.87,5.53,17.88,267.73,88.5,4.45,Manual,Inorganic,33.05,2024-02-21,2024-05-26,95,540706.0,SENS0048,2024-05-17,31.483555,77.600188,0.49,Severe,0.46231943289731503,249978.89128417562,619.8868470918252
FARM0231,South India,Maize,12.8,5.58,22.69,296.11,70.7,7.13,Drip,Organic,33.81,2024-02-01,2024-05-13,102,540227.0,SENS0231,2024-05-13,22.953832,73.89493,0.77,Mild,0.1865341057790114,100770.76036267799,480.37941992096603
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,2024-01-08,2024-04-19,102,535692.0,SENS0030,2024-03-27,13.809559,72.524419,0.7,Mild,1.3917337376867303,745540.6294088799,954.1777967842521
FARM0151,North India,Soybean,28.82,5.81,16.67,69.76,86.05,9.85,Sprinkler,Mixed,19.7,2024-03-21,2024-08-06,138,533811.0,SENS0151,2024-04-06,17.754237,78.749721,0.87,Mild,0.46231943289731503,246791.19879434863,619.8868470918252
FARM0257,South USA,Wheat,26.38,6.78,22.22,235.87,84.52,8.93,Drip,Mixed,16.96,2024-01-24,2024-04-27,94,533783.0,SENS0257,2024-02-02,33.615087,89.211735,0.36,Mild,0.36990663654980654,197449.8741774654,424.05056851215187
FARM0178,Central USA,Maize,10.71,7.13,21.06,120.09,64.58,8.18,Drip,Organic,11.05,2024-03-15,2024-08-01,139,530329.0,SENS0178,2024-05-22,28.219985,82.099583,0.35,Severe,0.1865341057790114,98924.44578367734,488.31282270570273
FARM0214,East Africa,Wheat,34.53,5.65,33.56,76.53,79.34,5.81,Drip,Inorganic,39.44,2024-02-13,2024-06-07,115,528849.0,SENS0214,2024-02-16,21.849692,80.669355,0.38,Severe,0.36990663654980654,195624.75483272865,602.3410846457233
FARM0124,Central USA,Wheat,42.35,6.87,20.61,185.76,72.91,5.08,Manual,Organic,48.27,2024-03-05,2024-07-21,138,528276.0,SENS0124,2024-06-14,33.221874,75.985538,0.64,Severe,0.36990663654980654,195412.7983299856,448.10983787647996
FARM0293,Central USA,Cotton,27.06,5.63,17.26,169.66,82.29,5.69,Manual,Mixed,30.86,2024-03-04,2024-06-27,115,527021.0,SENS0293,2024-06-13,12.674532,81.122997,0.34,Moderate,1.3917337376867303,733472.9061693982,954.1777967842521
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,526409.0,SENS0008,2024-04-30,23.317654,72.51521,0.7,Mild,0.1865341057790114,98193.2320890236,577.1401222223404
FARM0228,Central USA,Soybean,40.69,6.32,18.78,227.29,79.47,7.47,Drip,Mixed,5.32,2024-03-07,2024-07-19,134,521715.0,SENS0228,2024-06-19,19.056745,73.095572,0.69,Moderate,0.46231943289731503,241198.9829340227,770.1480594932975
